id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;2020-01-04T12:02:48;5808;45924
2;Sammie;Hartmann;Bryon.Quigley@yahoo.com;Producer;2020-01-03T18:28:03;93855;21233
3;Abagail;Deckow;Christelle61@hotmail.com;Grocery Home;2020-01-04T01:51:06;61185;39986
4;Brody;Beahan;Wayne45@gmail.com;bluetooth;2020-01-04T09:39:14;38246;51423
5;Wilma;McLaughlin;Alyce_Stokes@yahoo.com;Centers;2020-01-04T14:07:40;94888;94220
6;Virgil;MacGyver;Gerhard9@hotmail.com;Nakfa;2020-01-04T03:52:57;68326;12203
7;Leone;Kunde;Alexzander.Daniel25@hotmail.com;invoice;2020-01-04T06:57:54;42515;52006
8;Cordell;Lockman;Christine_Bartell77@yahoo.com;Markets Chief;2020-01-04T00:05:48;72727;92187
9;Erick;Bogisich;Cleve96@yahoo.com;navigating;2020-01-03T20:30:38;27134;53969
10;Rhoda;McGlynn;Virgie_Goyette@yahoo.com;Plastic;2020-01-03T19:11:37;16526;7455
